Date,Last Price
3/31/1948,3.7
6/30/1948,3.7
9/30/1948,3.8
12/31/1948,3.8
3/31/1949,4.6
6/30/1949,5.9
9/30/1949,6.7
12/31/1949,7
3/31/1950,6.4
6/30/1950,5.6
9/30/1950,4.6
12/31/1950,4.2
3/31/1951,3.5
6/30/1951,3.1
9/30/1951,3.2
12/31/1951,3.4
3/31/1952,3.1
6/30/1952,3
9/30/1952,3.2
12/31/1952,2.8
3/31/1953,2.7
6/30/1953,2.6
9/30/1953,2.7
12/31/1953,3.7
3/31/1954,5.2
6/30/1954,5.8
9/30/1954,6
12/31/1954,5.4
3/31/1955,4.7
6/30/1955,4.4
9/30/1955,4.1
12/31/1955,4.2
3/31/1956,4
6/30/1956,4.2
9/30/1956,4.1
12/31/1956,4.1
3/31/1957,4
6/30/1957,4.1
9/30/1957,4.2
12/31/1957,4.9
3/31/1958,6.3
6/30/1958,7.4
9/30/1958,7.3
12/31/1958,6.4
3/31/1959,5.8
6/30/1959,5.1
9/30/1959,5.3
12/31/1959,5.6
3/31/1960,5.2
6/30/1960,5.2
9/30/1960,5.6
12/31/1960,6.3
3/31/1961,6.8
6/30/1961,7
9/30/1961,6.8
12/31/1961,6.2
3/31/1962,5.6
6/30/1962,5.5
9/30/1962,5.6
12/31/1962,5.5
3/31/1963,5.8
6/30/1963,5.7
9/30/1963,5.5
12/31/1963,5.6
3/31/1964,5.5
6/30/1964,5.2
9/30/1964,5
12/31/1964,5
3/31/1965,4.9
6/30/1965,4.7
9/30/1965,4.4
12/31/1965,4.1
3/31/1966,3.9
6/30/1966,3.8
9/30/1966,3.8
12/31/1966,3.7
3/31/1967,3.8
6/30/1967,3.8
9/30/1967,3.8
12/31/1967,3.9
3/31/1968,3.7
6/30/1968,3.5
9/30/1968,3.5
12/31/1968,3.4
3/31/1969,3.4
6/30/1969,3.4
9/30/1969,3.6
12/31/1969,3.6
3/31/1970,4.2
6/30/1970,4.8
9/30/1970,5.2
12/31/1970,5.8
3/31/1971,5.9
6/30/1971,5.9
9/30/1971,6
12/31/1971,6
3/31/1972,5.8
6/30/1972,5.7
9/30/1972,5.6
12/31/1972,5.3
3/31/1973,5
6/30/1973,4.9
9/30/1973,4.8
12/31/1973,4.8
3/31/1974,5.1
6/30/1974,5.2
9/30/1974,5.6
12/31/1974,6.6
3/31/1975,8.2
6/30/1975,8.9
9/30/1975,8.5
12/31/1975,8.3
3/31/1976,7.7
6/30/1976,7.6
9/30/1976,7.7
12/31/1976,7.8
3/31/1977,7.5
6/30/1977,7.1
9/30/1977,6.9
12/31/1977,6.6
3/31/1978,6.3
6/30/1978,6
9/30/1978,6
